All Ordinaries Index (1 February 2017),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
1AL,Oneall International Limited,Consumer Discretionary,"127,065,000",0.01,,"1,731,397,298,600",
1PG,1-PAGE Limited,Information Technology,"27,753,200",0,,,
3PL,3P Learning Limited.,Consumer Discretionary,"130,090,000",0.01,,Sector Breakdown,
8IH,8I Holdings LTD Cdi 1:1,Financials,"251,787,000",0.01,,Consumer Discretionary,6.37
A2M,The A2 Milk Company Limited NZ,Consumer Staples,"1,524,800,000",0.09,,Consumer Staples,6.49
AAC,Australian Agricultural Company Limited,Consumer Staples,"821,304,000",0.05,,Energy,4.87
AAD,Ardent Leisure Group Stapled,Consumer Discretionary,"975,717,000",0.06,,Financials,33.5
ABA,Auswide Bank LTD,Financials,"214,415,000",0.01,,Health Care,7.04
ABC,Adelaide Brighton Limited,Materials,"3,339,220,000",0.19,,Industrials,7.41
ABP,Abacus Property Group Stapled,Real Estate,"1,619,680,000",0.09,,Information Technology,1.84
ACR,Acrux Limited,Health Care,"53,286,900",0,,Materials,16.81
ACX,Aconex Limited,Information Technology,"593,995,000",0.03,,Real Estate,8.34
ADA,Adacel Technologies Limited,Information Technology,"185,488,000",0.01,,Telecommunication Services,4.57
ADH,Adairs Limited,Consumer Discretionary,"236,372,000",0.01,,Utilities,2.76
AFA,Asf Group Limited,Financials,"120,689,000",0.01,,,
AFG,Australian Finance Group LTD,Financials,"295,367,000",0.02,,,
AGG,Anglogold Ashanti Limited Cdi 5:1,Materials,"294,386,000",0.02,,,
AGI,Ainsworth Game Technology Limited,Consumer Discretionary,"602,576,000",0.03,,,
AGL,AGL Energy Limited,Utilities,"15,598,200,000",0.9,,,
AHG,Automotive Holdings Group Limited,Consumer Discretionary,"1,293,330,000",0.07,,,
AHX,Apiam Animal Health Limited,Consumer Discretionary,"116,355,000",0.01,,,
AHY,Asaleo Care Limited,Consumer Staples,"828,190,000",0.05,,,
AHZ,Admedus LTD,Health Care,"87,904,500",0.01,,,
AIA,Auckland International Airport Limited NZX,Industrials,"7,883,710,000",0.46,,,
AJA,Astro Japan Property Group Forus,Real Estate,"391,208,000",0.02,,,
AJD,Asia Pacific Data Centre Group Stapled,Real Estate,"175,950,000",0.01,,,
AJX,Alexium International Group Limited,Materials,"193,846,000",0.01,,,
AKP,Audio Pixels Holdings Limited,Consumer Discretionary,"341,546,000",0.02,,,
ALL,Aristocrat Leisure Limited,Consumer Discretionary,"9,667,560,000",0.56,,,
ALQ,Als Limited,Industrials,"2,969,860,000",0.17,,,
ALU,Altium Limited,Information Technology,"1,069,070,000",0.06,,,
AMA,AMA Group Limited,Consumer Discretionary,"483,162,000",0.03,,,
AMC,Amcor Limited,Materials,"16,480,400,000",0.95,,,
AMP,AMP Limited,Financials,"14,936,600,000",0.86,,,
ANN,Ansell Limited,Health Care,"3,307,250,000",0.19,,,
ANZ,Australia And New Zealand Banking Group Limited,Financials,"86,436,900,000",4.99,,,
AOG,Aveo Group Stapled,Real Estate,"1,842,840,000",0.11,,,
APA,APA Group Stapled,Utilities,"9,427,040,000",0.54,,,
APD,Apn Property Group Limited,Financials,"127,167,000",0.01,,,
